candidate_id,rank,score,reasoning
CAND_0071974,1,0.9700,"Senior AI Engineer with 7.8 years at Netflix (10001+); strong Qdrant, Weaviate, Information Retrieval, Pinecone experience plus Sentence Transformers, PEFT; building retrieval systems at product companies; M.Sc from NIT Warangal; located in Vizag, Andhra Pradesh, India; moderate response rate (0.76), open to work, active GitHub (score 82.80). Minor concern on notice period (45 days)."
CAND_0010257,2,0.9260,"Senior Data Scientist with 6.5 years at Google (10001+); strong Qdrant, Milvus, Python experience plus TensorFlow; building retrieval systems at product companies; Noida, Uttar Pradesh-based; moderate response rate (0.72), open to work, active GitHub (score 45.50), strong interview completion (0.92). Minor concern on extended notice period (120 days)."
CAND_0079387,3,0.9152,"AI Engineer with 6.9 years at Microsoft (10001+); strong Learning to Rank, Python experience plus QLoRA, Sentence Transformers; building retrieval systems at product companies; M.Sc from IIIT Hyderabad; located in Trivandrum, Kerala, India; 81% recruiter response rate, open to work, active GitHub (score 64.10), strong interview completion (0.90)."
CAND_0018499,4,0.9128,"Senior Machine Learning Engineer with 7.2 years at Zomato (5001-10000); strong Learning to Rank, Embeddings, Weaviate, Milvus experience plus QLoRA; building retrieval systems at product companies; B.Sc from Massachusetts Institute of Technology; Noida, Uttar Pradesh-based; moderate response rate (0.61), open to work, active GitHub (score 94.80)."
CAND_0050876,5,0.8941,"Applied ML Engineer with 6.0 years at Freshworks (5001-10000); strong Python, Qdrant, FAISS experience plus Sentence Transformers, QLoRA; building retrieval systems at product companies; M.S. from Stanford University; located in Kolkata, West Bengal, India; moderate response rate (0.67), open to work, active GitHub (score 86.10), strong interview completion (0.97). Minor concern on extended notice period (90 days)."
CAND_0081846,6,0.8718,"Lead AI Engineer with 6.7 years at Razorpay (1001-5000); strong Learning to Rank, Embeddings, Qdrant, Elasticsearch experience plus PyTorch; building retrieval systems at product companies; B.E. from IIT Hyderabad; located in Jaipur, Rajasthan, India (willing to relocate); moderate response rate (0.73), open to work, active GitHub (score 33.70), strong interview completion (0.94)."
CAND_0028793,7,0.8483,"Search Engineer with 7.2 years at Google (10001+); strong Learning to Rank, Embeddings, Information Retrieval experience plus LoRA, QLoRA; building retrieval systems at product companies; B.E. from BITS Pilani; located in Trivandrum, Kerala, India (willing to relocate); moderate response rate (0.57), open to work, active GitHub (score 83.10). Minor concern on extended notice period (120 days)."
CAND_0086022,8,0.8398,"Senior Applied Scientist with 5.3 years at Sarvam AI (51-200); strong Pinecone, Embeddings, Elasticsearch experience plus QLoRA, PyTorch; building retrieval systems at product companies; B.Tech from Stanford University; located in Kolkata, West Bengal, India (willing to relocate); moderate response rate (0.55), open to work, active GitHub (score 75.20)."
CAND_0005538,9,0.8314,"Senior AI Engineer with 5.9 years at Adobe (10001+); strong Information Retrieval Systems, Python experience plus QLoRA, PyTorch; building retrieval systems at product companies; located in Kolkata, West Bengal, India; 81% recruiter response rate, open to work, active GitHub (score 58.00). Minor concern on extended notice period (90 days)."
CAND_0083879,10,0.8272,"Machine Learning Engineer with 7.1 years at Ola (5001-10000); strong Milvus experience plus Hugging Face Transformers, Sentence Transformers; building retrieval systems at product companies; B.Sc from NIT Surathkal; Noida, Uttar Pradesh-based; open to work."
CAND_0002025,11,0.8266,"Senior AI Engineer with 5.9 years at Apple (10001+); strong Weaviate, Pinecone, Python, FAISS experience plus QLoRA, TensorFlow; building retrieval systems at product companies; M.Sc from IIIT Bangalore; located in Trivandrum, Kerala, India; 80% recruiter response rate, open to work, active GitHub (score 96.90)."
CAND_0077337,12,0.8212,"Staff Machine Learning Engineer with 7.0 years at Paytm (10001+); strong Qdrant, Information Retrieval, Pinecone, Python experience plus QLoRA, LLMs; building retrieval systems at product companies; B.Tech from Georgia Tech; located in Kochi, Kerala, India (willing to relocate); 95% recruiter response rate, open to work, active GitHub (score 68.00). Minor concern on notice period (60 days)."
CAND_0078002,13,0.8169,"Machine Learning Engineer with 6.3 years at Meta (10001+); strong Weaviate experience plus Hugging Face Transformers, QLoRA; building retrieval systems at product companies; M.E. from NIT Trichy; located in Coimbatore, Tamil Nadu, India; 86% recruiter response rate, open to work, active GitHub (score 50.60). Minor concern on notice period (60 days)."
CAND_0064326,14,0.8037,"Search Engineer with 7.6 years at Sarvam AI (51-200); strong Python, Weaviate, Milvus experience plus QLoRA, PyTorch; building retrieval systems at product companies; based in Gurgaon, Haryana; 94% recruiter response rate, open to work, active GitHub (score 61.40), strong interview completion (0.90). Minor concern on notice period (45 days)."
CAND_0005509,15,0.7995,"Data Scientist with 6.0 years at Ola (5001-10000); strong Qdrant, Python experience plus Fine-tuning LLMs; building retrieval systems at product companies; Noida, Uttar Pradesh-based; open to work, active GitHub (score 74.20)."
CAND_0098846,16,0.7844,"AI Engineer with 7.6 years at upGrad (1001-5000); strong Qdrant experience plus Hugging Face Transformers, QLoRA; building retrieval systems at product companies; Ph.D from IIT Kanpur; located in Indore, Madhya Pradesh, India (willing to relocate); moderate response rate (0.62), open to work, active GitHub (score 86.20). Minor concern on notice period (45 days)."
CAND_0015528,17,0.7832,"Applied ML Engineer with 7.4 years at Krutrim (201-500); strong Weaviate, FAISS, Information Retrieval experience plus Docker, LoRA; building retrieval systems at product companies; Ph.D from IIIT Bangalore; located in Coimbatore, Tamil Nadu, India; moderate response rate (0.53), active GitHub (score 50.60)."
CAND_0011432,18,0.7754,"Senior Data Scientist with 7.6 years at Amazon (10001+); strong Elasticsearch experience plus QLoRA, PEFT; building retrieval systems at product companies; based in Chennai, Tamil Nadu; moderate response rate (0.67), open to work, active GitHub (score 20.00). Minor concern on notice period (60 days)."
CAND_0091909,19,0.7615,"Machine Learning Engineer with 6.9 years at Rephrase.ai (11-50); strong Learning to Rank, Qdrant, Pinecone experience plus Sentence Transformers, Hugging Face Transformers; building retrieval systems at product companies; M.E. from IIIT Bangalore; currently in Bangalore, Karnataka with willingness to relocate; moderate response rate (0.65), open to work, active GitHub (score 49.70). Minor concern on notice period (45 days)."
CAND_0030031,20,0.7585,"AI Engineer with 5.7 years at Microsoft (10001+); strong Milvus, Information Retrieval, Python experience plus Sentence Transformers, LoRA; building retrieval systems at product companies; B.Sc from IIT Bombay; located in Trivandrum, Kerala, India; 94% recruiter response rate, active GitHub (score 32.40)."
CAND_0047721,21,0.7501,"Senior Data Scientist with 7.0 years at Microsoft (10001+); strong Learning to Rank, Qdrant, Milvus, FAISS experience plus NLP; building retrieval systems at product companies; B.Sc from IIT Kharagpur; located in Coimbatore, Tamil Nadu, India (willing to relocate); active GitHub (score 90.10). Minor concern on extended notice period (90 days)."
CAND_0075249,22,0.7440,"Applied ML Engineer with 6.2 years at Zomato (5001-10000); strong Learning to Rank, Milvus, Pinecone experience plus Sentence Transformers, Fine-tuning LLMs; building retrieval systems at product companies; M.Tech from IIT Hyderabad; located in Ahmedabad, Gujarat, India; 82% recruiter response rate, open to work, active GitHub (score 36.80). Minor concern on notice period (45 days)."
CAND_0024147,23,0.7398,"ML Engineer with 5.9 years at Ola (5001-10000); strong Learning to Rank, Qdrant experience plus QLoRA; building retrieval systems at product companies; located in Jaipur, Rajasthan, India; 84% recruiter response rate, open to work, active GitHub (score 69.50). Minor concern on notice period (60 days)."
CAND_0005649,24,0.7338,"Senior Data Scientist with 7.4 years at Sarvam AI (51-200); strong Weaviate, Information Retrieval experience plus QLoRA, Fine-tuning LLMs; building retrieval systems at product companies; currently in Delhi, Delhi with willingness to relocate; moderate response rate (0.57), open to work, active GitHub (score 80.70). Minor concern on extended notice period (90 days)."
CAND_0011327,25,0.7338,"AI Research Engineer with 6.3 years at Krutrim (201-500); relevant Sentence Transformers background; building retrieval systems at product companies; based in Gurgaon, Haryana; moderate response rate (0.79), open to work. Minor concern on notice period (60 days)."
CAND_0016163,26,0.7326,"Applied ML Engineer with 6.7 years at Dream11 (1001-5000); strong Embeddings, Weaviate, Pinecone experience plus Hugging Face Transformers, LoRA; building retrieval systems at product companies; based in Gurgaon, Haryana; moderate response rate (0.72), open to work, active GitHub (score 95.00). Minor concern on extended notice period (120 days)."
CAND_0008425,27,0.7302,"Senior NLP Engineer with 7.8 years at Ola (5001-10000); strong Learning to Rank, Qdrant, Information Retrieval, Python experience plus Sentence Transformers, Hugging Face Transformers; building retrieval systems at product companies; M.S. from BITS Pilani; located in Kolkata, West Bengal, India; moderate response rate (0.66), open to work, active GitHub (score 53.30). Minor concern on extended notice period (90 days)."
CAND_0097176,28,0.7296,"ML Engineer with 5.9 years at TCS (10001+); strong FAISS experience plus PyTorch; building retrieval systems at product companies; based in Gurgaon, Haryana; moderate response rate (0.76), open to work, active GitHub (score 45.40)."
CAND_0006567,29,0.7284,"Senior AI Engineer with 7.9 years at Meta (10001+); strong Ranking Systems, Python experience plus Kubernetes, NLP; building retrieval systems at product companies; B.Sc from IIT Bombay; Noida, Uttar Pradesh-based; moderate response rate (0.79), open to work, active GitHub (score 35.20), strong interview completion (0.93). Minor concern on notice period (60 days)."
CAND_0039383,30,0.7266,"Applied ML Engineer with 7.1 years at Meesho (1001-5000); strong Elasticsearch, FAISS experience plus Hugging Face Transformers, QLoRA; building retrieval systems at product companies; B.Sc from IISc Bangalore; currently in Gurgaon, Haryana with willingness to relocate; moderate response rate (0.61), open to work, active GitHub (score 86.40), strong interview completion (0.97). Minor concern on extended notice period (90 days)."
CAND_0042029,31,0.7211,"Senior Data Scientist with 6.5 years at Flipkart (10001+); strong Learning to Rank, Embeddings, Elasticsearch, Weaviate experience plus Hugging Face Transformers, NLP; building retrieval systems at product companies; currently in Delhi, Delhi with willingness to relocate. Gaps noted: notice period (45 days)."
CAND_0068811,32,0.7205,"Applied ML Engineer with 8.0 years at Freshworks (5001-10000); strong Qdrant, Weaviate, Pinecone, Embeddings experience plus TensorFlow, PEFT; building retrieval systems at product companies; Pune, Maharashtra-based."
CAND_0080766,33,0.7199,"Staff Machine Learning Engineer with 8.8 years at Salesforce (10001+); strong Information Retrieval Systems, Milvus, Elasticsearch, Python experience plus QLoRA, TensorFlow; building retrieval systems at product companies; located in Coimbatore, Tamil Nadu, India (willing to relocate)."
CAND_0004402,34,0.7187,"AI Research Engineer with 6.0 years at Yellow.ai (201-500); strong Learning to Rank, Qdrant experience plus Sentence Transformers, PyTorch; building retrieval systems at product companies; based in Delhi, Delhi. Gaps noted: notice period (60 days)."
CAND_0081053,35,0.7151,"NLP Engineer with 5.4 years at Glance (501-1000); strong Learning to Rank, Qdrant, Weaviate experience plus LoRA, QLoRA; building retrieval systems at product companies; located in Chandigarh, Chandigarh, India (willing to relocate). Gaps noted: extended notice period (90 days)."
CAND_0052682,36,0.6988,"NLP Engineer with 6.6 years at Aganitha (51-200); strong Embeddings, FAISS, Python experience plus QLoRA, Fine-tuning LLMs; building retrieval systems at product companies; located in Vizag, Andhra Pradesh, India."
